Threads,Nodes on each side edge,volume,Mega heights / sec
1,32,3.8735,2.692
1,64,3.8781,3.33
1,128,3.8788,3.666
1,256,3.8788,3.675
1,512,3.879,3.718
1,1024,3.8778,3.699
1,2048,3.8901,3.699
1,3072,3.9168,3.719
2,32,3.8735,4.742
2,64,3.8781,5.825
2,128,3.8787,6.067
2,256,3.8788,7.211
2,512,3.8789,6.661
2,1024,3.878,7.321
2,2048,3.8779,7.308
2,3072,3.8665,6.148
4,32,3.8735,4.47
4,64,3.8781,8.318
4,128,3.8788,9.985
4,256,3.8788,12.341
4,512,3.8789,12.919
4,1024,3.8789,13.923
4,2048,3.8797,13.444
4,3072,3.8701,14.511
8,32,3.8735,3.373
8,64,3.8781,9.941
8,128,3.8788,15.99
8,256,3.8788,19.701
8,512,3.8789,22.172
8,1024,3.8789,23.86
8,2048,3.8782,25.226
8,3072,3.8787,26.004
12,32,3.8735,2.854
12,64,3.8781,5.165
12,128,3.8788,16.558
12,256,3.8788,23.496
12,512,3.8789,27.374
12,1024,3.8789,27.759
12,2048,3.8787,33.593
12,3072,3.8795,29.101
16,32,3.8735,0.194
16,64,3.8781,5.275
16,128,3.8788,12.724
16,256,3.8788,17.894
16,512,3.8789,36.489
16,1024,3.879,32.865
16,2048,3.879,41.357
16,3072,3.8795,40.094
20,32,3.8735,0.254
20,64,3.8781,0.61
20,128,3.8788,2.171
20,256,3.8788,11.121
20,512,3.8789,21.44
20,1024,3.8789,32.115
20,2048,3.8791,41.359
20,3072,3.8791,34.92
24,32,3.8735,0.152
24,64,3.8781,0.965
24,128,3.8788,3.447
24,256,3.8788,11.693
24,512,3.8789,22.595
24,1024,3.8789,34.374
24,2048,3.879,40.891
24,3072,3.8792,42.681